ID,job_category,job_title
1,data,data scientist
2,data,Business Intelligence Analyst
3,data,Database Developer
4,data,Database Administrator
5,data,Data Engineer
6,data,Data Security Administrator
7,marketing,Marketing Specialist
8,marketing,Marketing Manager
9,marketing,Marketing Director
10,marketing,Graphic Designer
11,marketing,Marketing Research Analyst
12,marketing,Marketing Communications Manager
13,marketing,Marketing Consultant
14,marketing,Product Manager
15,marketing,Public Relations
16,marketing,Social Media Assistant
17,marketing,Brand Manager
18,marketing,SEO Manager
19,marketing,Content Marketing Manager
20,marketing,Copywriter
21,marketing,Media Buyer
22,marketing,Digital Marketing Manager
23,marketing,eCommerce Marketing Specialist
24,marketing,Brand Strategist
25,marketing,Vice President of Marketing
26,marketing,Media Relations Coordinator
27,administrative,Administrative Assistant
28,administrative,Receptionist
29,administrative,Office Manager
30,administrative,Auditing Clerk
31,administrative,Bookkeeper
32,administrative,Account Executive
33,administrative,Branch Manager
34,administrative,Business Manager
35,administrative,Quality Control Coordinator
36,administrative,Administrative Manager
37,administrative,Chief Executive Officer
38,administrative,Business Analyst
39,administrative,Risk Manager
40,administrative,Human Resources
41,administrative,Office Assistant
42,administrative,Secretary
43,administrative,Office Clerk
44,administrative,File Clerk
45,administrative,Account Collector
46,administrative,Administrative Specialist
47,administrative,Executive Assistant
48,administrative,Program Administrator
49,administrative,Program Manager
50,administrative,Administrative Analyst
51,administrative,Data Entry
52,executive,CEO Chief Executive Officer
53,executive,COO Chief Operating Officer
54,executive,CFO Chief Financial Officer
55,executive,CIO Chief Information Officer
56,executive,CTO Chief Technology Officer
57,executive,CMO Chief Marketing Officer
58,executive,CHRO Chief Human Resources Officer
59,executive,CDO Chief Data Officer
60,executive,CPO Chief Product Officer
61,executive,CCO Chief Customer Officer
62,leadership,Team Leader
63,leadership,Manager
64,leadership,Assistant Manager
65,leadership,Executive
66,leadership,Director
67,leadership,Coordinator
68,leadership,Administrator
69,leadership,Controller
70,leadership,Officer
71,leadership,Organizer
72,leadership,Supervisor
73,leadership,Superintendent
74,leadership,Head
75,leadership,Overseer
76,leadership,Chief
77,leadership,Foreman
78,leadership,Controller
79,leadership,Principal
80,leadership,President
81,leadership,Lead
82,info_tech,Computer Scientist
83,info_tech,IT Professional
84,info_tech,UX Designer & UI Developer
85,info_tech,SQL Developer
86,info_tech,Web Designer
87,info_tech,Web Developer
88,info_tech,Help Desk Worker/Desktop Support
89,info_tech,Software Engineer
90,info_tech,Data Entry
91,info_tech,DevOps Engineer
92,info_tech,Computer Programmer
93,info_tech,Network Administrator
94,info_tech,Information Security Analyst
95,info_tech,Artificial Intelligence Engineer
96,info_tech,Cloud Architect
